Neighborhood;Region;Longtiude;Latitude
Cempaka Putih;Jakarta Pusat;106.868;-6.1827
Gambir;Jakarta Pusat;106.8148;-6.1703
Johar Baru;Jakarta Pusat;106.8577;-6.1868
Kemayoran;Jakarta Pusat;106.8473;-6.1604
Menteng;Jakarta Pusat;106.8326;-6.1940
Sawah Besar;Jakarta Pusat;106.8326;-6.1532
Senen;Jakarta Pusat;106.8503;-6.1935
Tanah Abang;Jakarta Pusat;106.8119;-6.2024
Cilincing;Jakarta Utara;106.9477;-6.1214
Kelapa Gading;Jakarta Utara;106.9055;-6.1605
Koja;Jakarta Utara;106.9063;-6.1177
Pademangan;Jakarta Utara;106.8385;-6.1326
Penjaringan;Jakarta Utara;106.7824;-6.1267
Tanjung Priok;Jakarta Utara;106.8715;-6.1321
Cakung;Jakarta Timur;106.9477;-6.1826
Cipayung;Jakarta Timur;106.9004;-6.3273
Ciracas;Jakarta Timur;106.8709;-6.3231
Duren Sawit;Jakarta Timur;106.9152;-6.2322
Jatinegara;Jakarta Timur;106.8827;-6.2307
Kramat Jati;Jakarta Timur;106.8591;-6.2826
Makasar;Jakarta Timur;106.8945;-6.2712
Matraman;Jakarta Timur;106.8621;-6.2033
Pasar Rebo;Jakarta Timur;106.8562;-6.3262
Pulo Gadung;Jakarta Timur;106.8912;-6.1936
Cilandak;Jakarta Selatan;106.8001;-6.2845
Jagakarsa;Jakarta Selatan;106.8237;-6.3349
Kebayoran Baru;Jakarta Selatan;106.8001;-6.2436
Kebayoran Lama;Jakarta Selatan;106.7765;-6.2444
Mampang Prapatan;Jakarta Selatan;106.8208;-6.2506
Pancoran;Jakarta Selatan;106.8473;-6.2523
Pasar Minggu;Jakarta Selatan;106.8237;-6.2940
Pesanggrahan;Jakarta Selatan;106.7618;-6.2474
Setiabudi;Jakarta Selatan;106.8326;-6.2196
Tebet;Jakarta Selatan;106.8473;-6.2319
Cengkareng;Jakarta Barat;106.7353;-6.1487
Grogol Petamburan;Jakarta Barat;106.7883;-6.1623
Taman Sari;Jakarta Barat;106.8208;-6.1485
Tambora;Jakarta Barat;106.8031;-6.1490
Kebon Jeruk;Jakarta Barat;106.7647;-6.1835
Kalideres;Jakarta Barat;106.7058;-6.1343
Palmerah;Jakarta Barat;106.7972;-6.1901
Kembangan;Jakarta Barat;106.7423;-6.1912
